Rank,Word,Occurences,Percentage,Cumulative%
3978,東部,62,0.00329%,78.077%
3979,倒産,62,0.00329%,78.080%
3980,丸,61,0.00324%,78.084%
3981,見受ける,61,0.00324%,78.087%
3982,強制,61,0.00324%,78.090%
3983,悪魔,61,0.00324%,78.093%
3984,リタイア,61,0.00324%,78.097%
3985,加速,61,0.00324%,78.100%
3986,初飛行,61,0.00324%,78.103%
3987,擬似,61,0.00324%,78.106%
3988,叩く,61,0.00324%,78.110%
3989,先述,61,0.00324%,78.113%
3990,原子,61,0.00324%,78.116%
3991,五輪,61,0.00324%,78.119%
3992,捨てる,61,0.00324%,78.123%
3993,襲撃,61,0.00324%,78.126%
3994,シューティング,61,0.00324%,78.129%
3995,ライター,61,0.00324%,78.132%
3996,カタログ,61,0.00324%,78.136%
3997,注文,61,0.00324%,78.139%
3998,譲る,61,0.00324%,78.142%
3999,仏滅,61,0.00324%,78.145%
4000,スラム,61,0.00324%,78.148%
4001,戦場,61,0.00324%,78.152%
4002,放送中,61,0.00324%,78.155%
4003,決意,61,0.00324%,78.158%
4004,最終日,61,0.00324%,78.161%
4005,グラフィックス,61,0.00324%,78.165%
4006,最終節,61,0.00324%,78.168%
4007,会う,61,0.00324%,78.171%
4008,圧力,61,0.00324%,78.174%
4009,入れ替わる,61,0.00324%,78.178%
4010,土,61,0.00324%,78.181%
4011,組み込み,61,0.00324%,78.184%
4012,まんが,61,0.00324%,78.187%
4013,遭遇,61,0.00324%,78.191%
4014,ゲーム版,61,0.00324%,78.194%
4015,オフィス,61,0.00324%,78.197%
4016,ゲーム内,61,0.00324%,78.200%
4017,桜,61,0.00324%,78.204%
4018,特有,61,0.00324%,78.207%
4019,短期間,61,0.00324%,78.210%
4020,意思,61,0.00324%,78.213%
4021,末尾,61,0.00324%,78.217%
4022,隊員,61,0.00324%,78.220%
4023,支持者,61,0.00324%,78.223%
4024,改変,61,0.00324%,78.226%
4025,運賃,61,0.00324%,78.229%
4026,広まる,61,0.00324%,78.233%
4027,デーモン,61,0.00324%,78.236%
4028,フィート,61,0.00324%,78.239%
4029,一日,61,0.00324%,78.242%
4030,主体暦,61,0.00324%,78.246%
4031,学ぶ,61,0.00324%,78.249%
4032,蒸気,61,0.00324%,78.252%
4033,パスワード,61,0.00324%,78.255%
4034,ハッチ,61,0.00324%,78.259%
4035,騎士団,61,0.00324%,78.262%
4036,ウィルス,61,0.00324%,78.265%
4037,頻度,61,0.00324%,78.268%
4038,反射,61,0.00324%,78.272%
4039,処理系,61,0.00324%,78.275%
4040,スタック,61,0.00324%,78.278%
4041,最悪,60,0.00319%,78.281%
4042,メダル,60,0.00319%,78.284%
4043,発する,60,0.00319%,78.288%
4044,地形,60,0.00319%,78.291%
4045,踏む,60,0.00319%,78.294%
4046,中期,60,0.00319%,78.297%
4047,更,60,0.00319%,78.300%
4048,遊ぶ,60,0.00319%,78.304%
4049,先負,60,0.00319%,78.307%
4050,大安,60,0.00319%,78.310%
4051,セルフ,60,0.00319%,78.313%
4052,キャッチフレーズ,60,0.00319%,78.316%
4053,受信機,60,0.00319%,78.320%
4054,撃つ,60,0.00319%,78.323%
4055,実写,60,0.00319%,78.326%
4056,タスク,60,0.00319%,78.329%
4057,追求,60,0.00319%,78.332%
4058,二次,60,0.00319%,78.335%
4059,セリフ,60,0.00319%,78.339%
4060,戦前,60,0.00319%,78.342%
4061,日本航空,60,0.00319%,78.345%
4062,実体,60,0.00319%,78.348%
4063,みんな,60,0.00319%,78.351%
4064,旨,60,0.00319%,78.355%
4065,立体,60,0.00319%,78.358%
4066,孝,60,0.00319%,78.361%
4067,暮らす,60,0.00319%,78.364%
4068,態度,60,0.00319%,78.367%
4069,天体,60,0.00319%,78.370%
4070,友引,60,0.00319%,78.374%
4071,造る,60,0.00319%,78.377%
4072,パチンコ機,60,0.00319%,78.380%
4073,探索,60,0.00319%,78.383%
4074,感覚,60,0.00319%,78.386%
4075,リモコン,60,0.00319%,78.390%
4076,戦車砲,60,0.00319%,78.393%
4077,休刊,60,0.00319%,78.396%
4078,氏,60,0.00319%,78.399%
4079,赤口,60,0.00319%,78.402%
4080,ワークステーション,60,0.00319%,78.406%
4081,大戦後,60,0.00319%,78.409%
4082,一員,60,0.00319%,78.412%
4083,脱落,60,0.00319%,78.415%
4084,雅,60,0.00319%,78.418%
4085,無効,60,0.00319%,78.421%
4086,映る,60,0.00319%,78.425%
4087,占領,60,0.00319%,78.428%
4088,キー局,59,0.00313%,78.431%
4089,身体,59,0.00313%,78.434%
4090,訴える,59,0.00313%,78.437%
4091,こい,59,0.00313%,78.440%
4092,画期的,59,0.00313%,78.444%
4093,高木,59,0.00313%,78.447%
4094,川口,59,0.00313%,78.450%
4095,料理,59,0.00313%,78.453%
4096,コク,59,0.00313%,78.456%
4097,ノイズ,59,0.00313%,78.459%
4098,打ち切り,59,0.00313%,78.462%
4099,社会人,59,0.00313%,78.465%
4100,劇的,59,0.00313%,78.469%
4101,福本,59,0.00313%,78.472%
4102,ミラノ,59,0.00313%,78.475%
4103,青い,59,0.00313%,78.478%
4104,サンプリング,59,0.00313%,78.481%
4105,櫻井,59,0.00313%,78.484%
4106,偵察機,59,0.00313%,78.487%
4107,公共,59,0.00313%,78.491%
4108,山下,59,0.00313%,78.494%
4109,手動,59,0.00313%,78.497%
4110,洋楽,59,0.00313%,78.500%
4111,臨時,59,0.00313%,78.503%
4112,自国,59,0.00313%,78.506%
4113,勝者,59,0.00313%,78.509%
4114,フェア,59,0.00313%,78.512%
4115,明治,59,0.00313%,78.516%
4116,ケリー,59,0.00313%,78.519%
4117,出版社,59,0.00313%,78.522%
4118,区,59,0.00313%,78.525%
4119,ホテル,59,0.00313%,78.528%
4120,便利,59,0.00313%,78.531%
4121,全面,59,0.00313%,78.534%
4122,重,59,0.00313%,78.538%
4123,裏番組,59,0.00313%,78.541%
4124,やってくる,59,0.00313%,78.544%
4125,歩く,59,0.00313%,78.547%
4126,リレー,59,0.00313%,78.550%
4127,簡易,59,0.00313%,78.553%
4128,勝ち越し,59,0.00313%,78.556%
4129,護衛,59,0.00313%,78.559%
4130,フォン,59,0.00313%,78.563%
4131,驚く,59,0.00313%,78.566%
4132,打ち出す,59,0.00313%,78.569%
4133,マッハ,59,0.00313%,78.572%
4134,魂,59,0.00313%,78.575%
4135,排気,59,0.00313%,78.578%
4136,モスクワ,59,0.00313%,78.581%
4137,葉,58,0.00308%,78.585%
4138,実,58,0.00308%,78.588%
4139,将来的,58,0.00308%,78.591%
4140,松下電器産業,58,0.00308%,78.594%
4141,づく,58,0.00308%,78.597%
4142,多大,58,0.00308%,78.600%
4143,命じる,58,0.00308%,78.603%
4144,美少女,58,0.00308%,78.606%
4145,制,58,0.00308%,78.609%
4146,中核,58,0.00308%,78.612%
4147,連邦軍,58,0.00308%,78.615%
4148,内野,58,0.00308%,78.618%
4149,曜日,58,0.00308%,78.621%
4150,リズム,58,0.00308%,78.625%
4151,線路,58,0.00308%,78.628%
4152,死神,58,0.00308%,78.631%
4153,膨大,58,0.00308%,78.634%
4154,アニメ化,58,0.00308%,78.637%
4155,差異,58,0.00308%,78.640%
4156,危険性,58,0.00308%,78.643%
4157,抗争,58,0.00308%,78.646%
4158,文庫,58,0.00308%,78.649%
4159,飛び出す,58,0.00308%,78.652%
4160,引き渡す,58,0.00308%,78.655%
4161,ホスト名,58,0.00308%,78.658%
4162,双子,58,0.00308%,78.662%
4163,解散後,58,0.00308%,78.665%
4164,梨,58,0.00308%,78.668%
4165,通常版,58,0.00308%,78.671%
4166,定数,58,0.00308%,78.674%
4167,手続き,58,0.00308%,78.677%
4168,浸透,58,0.00308%,78.680%
4169,伝統,58,0.00308%,78.683%
4170,母体,58,0.00308%,78.686%
4171,標的,58,0.00308%,78.689%
4172,福田,58,0.00308%,78.692%
4173,犬,58,0.00308%,78.695%
4174,放射,58,0.00308%,78.699%
4175,優等,58,0.00308%,78.702%
4176,やめる,58,0.00308%,78.705%
4177,眼,58,0.00308%,78.708%
4178,上述,58,0.00308%,78.711%
4179,パラメータ,58,0.00308%,78.714%
4180,バージョンアップ,58,0.00308%,78.717%
4181,パラシュート,58,0.00308%,78.720%
4182,惑星,58,0.00308%,78.723%
4183,コミュニケーション,58,0.00308%,78.726%
4184,国土,58,0.00308%,78.729%
4185,魅力,58,0.00308%,78.732%
4186,ズボン,58,0.00308%,78.735%
4187,山倉,58,0.00308%,78.739%
4188,クリップ,58,0.00308%,78.742%
4189,警告,58,0.00308%,78.745%
4190,揃える,58,0.00308%,78.748%
4191,投球,58,0.00308%,78.751%
4192,久保田,58,0.00308%,78.754%
4193,本誌,58,0.00308%,78.757%
4194,民放,58,0.00308%,78.760%
4195,武,58,0.00308%,78.763%
4196,マイク,58,0.00308%,78.766%
4197,不思議,58,0.00308%,78.769%
4198,修,58,0.00308%,78.772%
4199,哲,58,0.00308%,78.776%
4200,相違点,57,0.00303%,78.779%
4201,カム,57,0.00303%,78.782%
4202,解く,57,0.00303%,78.785%
4203,店頭,57,0.00303%,78.788%
4204,症状,57,0.00303%,78.791%
4205,ログイン,57,0.00303%,78.794%
4206,グラウンド,57,0.00303%,78.797%
4207,欄,57,0.00303%,78.800%
4208,空挺,57,0.00303%,78.803%
4209,嫌う,57,0.00303%,78.806%
4210,可変,57,0.00303%,78.809%
4211,マンハッタン,57,0.00303%,78.812%
4212,スパイク,57,0.00303%,78.815%
4213,ミラー,57,0.00303%,78.818%
4214,低速,57,0.00303%,78.821%
4215,増強,57,0.00303%,78.824%
4216,ビーイング,57,0.00303%,78.827%
4217,短命,57,0.00303%,78.830%
4218,分裂,57,0.00303%,78.833%
4219,株価,57,0.00303%,78.836%
4220,カップリング曲,57,0.00303%,78.839%
4221,埋める,57,0.00303%,78.842%
4222,優位,57,0.00303%,78.845%
4223,江川,57,0.00303%,78.848%
4224,松沼,57,0.00303%,78.851%
4225,連れる,57,0.00303%,78.854%
4226,万博,57,0.00303%,78.857%
4227,難い,57,0.00303%,78.860%
4228,ユナイテッド,57,0.00303%,78.863%
4229,兵,57,0.00303%,78.866%
4230,間違う,57,0.00303%,78.869%
4231,ルイス,57,0.00303%,78.872%
4232,並列,57,0.00303%,78.875%
4233,ショッピング,57,0.00303%,78.878%
4234,急激,57,0.00303%,78.881%
4235,三人,57,0.00303%,78.885%
4236,暴動,57,0.00303%,78.888%
4237,一年,57,0.00303%,78.891%
4238,一回,57,0.00303%,78.894%
4239,部位,57,0.00303%,78.897%
4240,駆使,57,0.00303%,78.900%
4241,鹿島,57,0.00303%,78.903%
4242,漫画版,57,0.00303%,78.906%
4243,本数,57,0.00303%,78.909%
4244,ノーマル,57,0.00303%,78.912%
4245,早朝,57,0.00303%,78.915%
4246,同人,57,0.00303%,78.918%
4247,マレーシア,57,0.00303%,78.921%
4248,恋人,57,0.00303%,78.924%
4249,オン,57,0.00303%,78.927%
4250,負け,57,0.00303%,78.930%
4251,諸島,57,0.00303%,78.933%
4252,焦点,57,0.00303%,78.936%
4253,よむ,56,0.00297%,78.939%
4254,進,56,0.00297%,78.942%
4255,多彩,56,0.00297%,78.945%
4256,ベースボール,56,0.00297%,78.948%
4257,長編,56,0.00297%,78.951%
4258,チェーン,56,0.00297%,78.954%
4259,か月,56,0.00297%,78.957%
4260,碑文,56,0.00297%,78.960%
4261,健康,56,0.00297%,78.963%
4262,半,56,0.00297%,78.966%
4263,着陸,56,0.00297%,78.969%
4264,優勝国,56,0.00297%,78.972%
4265,再会,56,0.00297%,78.975%
4266,解読,56,0.00297%,78.978%
4267,取引所,56,0.00297%,78.981%
4268,無償,56,0.00297%,78.984%
4269,涙,56,0.00297%,78.987%
4270,経済的,56,0.00297%,78.990%
4271,伸びる,56,0.00297%,78.993%
4272,ロバート,56,0.00297%,78.995%
4273,戦力,56,0.00297%,78.998%
4274,１,56,0.00297%,79.001%
4275,信頼度,56,0.00297%,79.004%
4276,定評,56,0.00297%,79.007%
4277,創立,56,0.00297%,79.010%
4278,ボーイング社,56,0.00297%,79.013%
4279,隊,56,0.00297%,79.016%
4280,選手権戦,56,0.00297%,79.019%
4281,終戦,56,0.00297%,79.022%
4282,岡本,56,0.00297%,79.025%
4283,モー,56,0.00297%,79.028%
4284,対照的,56,0.00297%,79.031%
4285,ワークス,56,0.00297%,79.034%
4286,サン,56,0.00297%,79.037%
4287,オールナイト,56,0.00297%,79.040%
4288,転用,56,0.00297%,79.043%
4289,浅倉,56,0.00297%,79.046%
4290,松橋,56,0.00297%,79.049%
4291,カスタム,56,0.00297%,79.052%
4292,国有,56,0.00297%,79.055%
4293,欠陥,56,0.00297%,79.058%
4294,ビクター,56,0.00297%,79.061%
4295,称する,56,0.00297%,79.064%
4296,サスペンション,56,0.00297%,79.067%
4297,据える,56,0.00297%,79.070%
4298,就役,56,0.00297%,79.073%
4299,ダーク,56,0.00297%,79.076%
4300,三菱,56,0.00297%,79.079%
4301,添付,56,0.00297%,79.082%
4302,学者,56,0.00297%,79.085%
4303,取り扱い,56,0.00297%,79.088%
4304,指令,55,0.00292%,79.091%
4305,大差,55,0.00292%,79.094%
4306,上海,55,0.00292%,79.096%
4307,こむ,55,0.00292%,79.099%
4308,たび,55,0.00292%,79.102%
4309,撤去,55,0.00292%,79.105%
4310,販売元,55,0.00292%,79.108%
4311,城島,55,0.00292%,79.111%
4312,不安定,55,0.00292%,79.114%
4313,両国,55,0.00292%,79.117%
4314,マニュアル,55,0.00292%,79.120%
4315,優,55,0.00292%,79.123%
4316,レバー,55,0.00292%,79.126%
4317,効果的,55,0.00292%,79.129%
4318,パーソナリティー,55,0.00292%,79.132%
4319,インスタンス,55,0.00292%,79.134%
4320,選抜,55,0.00292%,79.137%
4321,搭載量,55,0.00292%,79.140%
4322,アタック,55,0.00292%,79.143%
4323,自由度,55,0.00292%,79.146%
4324,口,55,0.00292%,79.149%
4325,野球場,55,0.00292%,79.152%
4326,カラオケ,55,0.00292%,79.155%
4327,タッグ,55,0.00292%,79.158%
4328,環,55,0.00292%,79.161%
4329,自宅,55,0.00292%,79.164%
4330,連装,55,0.00292%,79.167%
4331,手間,55,0.00292%,79.169%
4332,支払い,55,0.00292%,79.172%
4333,ファンクラブ,55,0.00292%,79.175%
4334,切れる,55,0.00292%,79.178%
4335,世界一,55,0.00292%,79.181%
4336,シリーズ回,55,0.00292%,79.184%
4337,低減,55,0.00292%,79.187%
4338,大阪市,55,0.00292%,79.190%
4339,シーケンス,55,0.00292%,79.193%
4340,移管,55,0.00292%,79.196%
4341,効率的,55,0.00292%,79.199%
4342,冒険,55,0.00292%,79.202%
4343,発売後,55,0.00292%,79.205%
4344,中学生,55,0.00292%,79.207%
4345,条,55,0.00292%,79.210%
4346,作り上げる,55,0.00292%,79.213%
4347,出場枠,55,0.00292%,79.216%
4348,割引,55,0.00292%,79.219%
4349,ラジオ局,55,0.00292%,79.222%
4350,反動,55,0.00292%,79.225%
4351,カール,55,0.00292%,79.228%
4352,エニックス,55,0.00292%,79.231%
4353,道仏,55,0.00292%,79.234%
4354,仁,55,0.00292%,79.237%
4355,年豪,55,0.00292%,79.240%
4356,アスキー,55,0.00292%,79.243%
4357,比例,55,0.00292%,79.245%
4358,スパイ,55,0.00292%,79.248%
4359,宇多田,55,0.00292%,79.251%
4360,スクリーン,55,0.00292%,79.254%
4361,誠,55,0.00292%,79.257%
4362,水原,55,0.00292%,79.260%
4363,干渉,55,0.00292%,79.263%
4364,犯人,55,0.00292%,79.266%
4365,液体,55,0.00292%,79.269%
4366,はじめる,55,0.00292%,79.272%
4367,暫定,55,0.00292%,79.275%
4368,電話用,54,0.00287%,79.278%
4369,根,54,0.00287%,79.280%
4370,補う,54,0.00287%,79.283%
4371,コンテナ,54,0.00287%,79.286%
4372,最中,54,0.00287%,79.289%
4373,僅か,54,0.00287%,79.292%
4374,著者,54,0.00287%,79.295%
4375,下ろす,54,0.00287%,79.298%
4376,チャージ,54,0.00287%,79.300%
4377,スコープ,54,0.00287%,79.303%
4378,見なす,54,0.00287%,79.306%
4379,スライド,54,0.00287%,79.309%
4380,内側,54,0.00287%,79.312%
4381,促す,54,0.00287%,79.315%
4382,バイク,54,0.00287%,79.318%
4383,生き残る,54,0.00287%,79.321%
4384,ミドル,54,0.00287%,79.323%
4385,近郊,54,0.00287%,79.326%
4386,ピクセル,54,0.00287%,79.329%
4387,親会社,54,0.00287%,79.332%
4388,太陽暦,54,0.00287%,79.335%
4389,自民党,54,0.00287%,79.338%
4390,メガ,54,0.00287%,79.341%
4391,クエスト,54,0.00287%,79.344%
4392,スキップ,54,0.00287%,79.346%
4393,稲葉,54,0.00287%,79.349%
4394,トランザクション,54,0.00287%,79.352%
4395,ボー,54,0.00287%,79.355%
4396,喫す,54,0.00287%,79.358%
4397,ファ,54,0.00287%,79.361%
4398,軍隊,54,0.00287%,79.364%
4399,シュート,54,0.00287%,79.366%
4400,ランダム,54,0.00287%,79.369%
4401,フィルタ,54,0.00287%,79.372%
4402,密度,54,0.00287%,79.375%
4403,ポスト,54,0.00287%,79.378%
4404,廉価版,54,0.00287%,79.381%
4405,狙撃,54,0.00287%,79.384%
4406,携わる,54,0.00287%,79.387%
4407,合金,54,0.00287%,79.389%
4408,微妙,54,0.00287%,79.392%
4409,台風,54,0.00287%,79.395%
4410,剣,54,0.00287%,79.398%
4411,平野,54,0.00287%,79.401%
4412,福岡県,54,0.00287%,79.404%
4413,起因,54,0.00287%,79.407%
4414,倍速,54,0.00287%,79.409%
4415,マッピング,54,0.00287%,79.412%
4416,発覚,54,0.00287%,79.415%
4417,代入,54,0.00287%,79.418%
4418,後任,54,0.00287%,79.421%
4419,期,54,0.00287%,79.424%
4420,分布,54,0.00287%,79.427%
4421,盛ん,54,0.00287%,79.430%
4422,水曜,54,0.00287%,79.432%
4423,皮切り,54,0.00287%,79.435%
4424,打ち込む,54,0.00287%,79.438%
4425,作風,54,0.00287%,79.441%
4426,生む,54,0.00287%,79.444%
4427,規格化,54,0.00287%,79.447%
4428,頼る,54,0.00287%,79.450%
4429,化す,54,0.00287%,79.453%
4430,人制,54,0.00287%,79.455%
4431,航空隊,54,0.00287%,79.458%
4432,保管,53,0.00282%,79.461%
4433,評す,53,0.00282%,79.464%
4434,辞典,53,0.00282%,79.467%
4435,ソケット,53,0.00282%,79.470%
4436,架,53,0.00282%,79.472%
4437,収納,53,0.00282%,79.475%
4438,神経,53,0.00282%,79.478%
4439,大会ぶり,53,0.00282%,79.481%
4440,沖縄県,53,0.00282%,79.484%
4441,両面,53,0.00282%,79.486%
4442,傾斜,53,0.00282%,79.489%
4443,捕手,53,0.00282%,79.492%
4444,対する,53,0.00282%,79.495%
4445,豪華,53,0.00282%,79.498%
4446,エフェクト,53,0.00282%,79.500%
4447,ハート,53,0.00282%,79.503%
4448,スロバキア,53,0.00282%,79.506%
4449,類,53,0.00282%,79.509%
4450,履歴,53,0.00282%,79.512%
4451,放送枠,53,0.00282%,79.515%
4452,腕,53,0.00282%,79.517%
4453,打率,53,0.00282%,79.520%
4454,介,53,0.00282%,79.523%
4455,上野駅,53,0.00282%,79.526%
4456,テレ,53,0.00282%,79.529%
4457,ソ,53,0.00282%,79.531%
4458,友達,53,0.00282%,79.534%
4459,山陽新幹線,53,0.00282%,79.537%
4460,音質,53,0.00282%,79.540%
4461,シンガーソングライター,53,0.00282%,79.543%
4462,いつ,53,0.00282%,79.546%
4463,混合,53,0.00282%,79.548%
4464,タイトル曲,53,0.00282%,79.551%
4465,終端,53,0.00282%,79.554%
4466,低空,53,0.00282%,79.557%
4467,署名,53,0.00282%,79.560%
4468,思い,53,0.00282%,79.562%
4469,第戦,53,0.00282%,79.565%
4470,連載中,53,0.00282%,79.568%
4471,上陸,53,0.00282%,79.571%
4472,ショット,53,0.00282%,79.574%
4473,送信所,53,0.00282%,79.576%
4474,勧告,53,0.00282%,79.579%
4475,発動,53,0.00282%,79.582%
4476,宇宙船,53,0.00282%,79.585%
4477,姫,53,0.00282%,79.588%
4478,市,53,0.00282%,79.591%
4479,格差,53,0.00282%,79.593%
4480,平,53,0.00282%,79.596%
4481,頭部,53,0.00282%,79.599%
4482,編集長,53,0.00282%,79.602%
4483,フランス軍,53,0.00282%,79.605%
4484,神奈川県,53,0.00282%,79.607%
4485,離着陸,53,0.00282%,79.610%
4486,刻む,53,0.00282%,79.613%
4487,ライフ,53,0.00282%,79.616%
4488,スタンダード,53,0.00282%,79.619%
4489,通る,53,0.00282%,79.622%
4490,授業,53,0.00282%,79.624%
4491,徹,53,0.00282%,79.627%
4492,居る,53,0.00282%,79.630%
4493,スーパーコンピュータ,52,0.00276%,79.633%
4494,大介,52,0.00276%,79.636%
4495,グッズ,52,0.00276%,79.638%
4496,ファイター,52,0.00276%,79.641%
4497,楽しめる,52,0.00276%,79.644%
4498,投手陣,52,0.00276%,79.647%
4499,明るい,52,0.00276%,79.649%
4500,旋回,52,0.00276%,79.652%
4501,中西,52,0.00276%,79.655%
4502,匹,52,0.00276%,79.658%
4503,市街地,52,0.00276%,79.660%
4504,安藤,52,0.00276%,79.663%
4505,階級,52,0.00276%,79.666%
4506,スティーブ,52,0.00276%,79.669%
4507,パーティ,52,0.00276%,79.671%
4508,仕留める,52,0.00276%,79.674%
4509,イオン,52,0.00276%,79.677%
4510,済む,52,0.00276%,79.680%
4511,全国ネット,52,0.00276%,79.682%
4512,救援,52,0.00276%,79.685%
4513,判別,52,0.00276%,79.688%
4514,円城寺,52,0.00276%,79.691%
4515,静岡県,52,0.00276%,79.694%
4516,エンジニア,52,0.00276%,79.696%
4517,茂雄,52,0.00276%,79.699%
4518,選挙戦,52,0.00276%,79.702%
4519,年ごろ,52,0.00276%,79.705%
4520,つなぐ,52,0.00276%,79.707%
4521,あたり,52,0.00276%,79.710%
4522,湘南,52,0.00276%,79.713%
4523,冷戦,52,0.00276%,79.716%
4524,アカウント,52,0.00276%,79.718%
4525,騎士,52,0.00276%,79.721%
4526,パートナー,52,0.00276%,79.724%
4527,ディーン,52,0.00276%,79.727%
4528,使い方,52,0.00276%,79.729%
4529,縁,52,0.00276%,79.732%
4530,井野,52,0.00276%,79.735%
4531,補完,52,0.00276%,79.738%
4532,ボン,52,0.00276%,79.740%
4533,送出,52,0.00276%,79.743%
4534,反面,52,0.00276%,79.746%
4535,智,52,0.00276%,79.749%
4536,ワイドショー,52,0.00276%,79.752%
4537,行列,52,0.00276%,79.754%
4538,ブースター,52,0.00276%,79.757%
4539,潜,52,0.00276%,79.760%
4540,別所,52,0.00276%,79.763%
4541,フットボール,52,0.00276%,79.765%
4542,繁,52,0.00276%,79.768%
4543,読み書き,52,0.00276%,79.771%
4544,多項式,52,0.00276%,79.774%
4545,入場,52,0.00276%,79.776%
4546,首都圏,52,0.00276%,79.779%
4547,入学,52,0.00276%,79.782%
4548,バラード,52,0.00276%,79.785%
4549,日替わり,52,0.00276%,79.787%
4550,高田,52,0.00276%,79.790%
4551,定期的,51,0.00271%,79.793%
4552,ジャズ,51,0.00271%,79.796%
4553,レスラー,51,0.00271%,79.798%
4554,指導者,51,0.00271%,79.801%
4555,セ島,51,0.00271%,79.804%
4556,スクロール,51,0.00271%,79.806%
4557,県,51,0.00271%,79.809%
4558,シドニー,51,0.00271%,79.812%
4559,再編,51,0.00271%,79.815%
4560,自分たち,51,0.00271%,79.817%
4561,入れ替える,51,0.00271%,79.820%
4562,降下,51,0.00271%,79.823%
4563,経つ,51,0.00271%,79.825%
4564,野党,51,0.00271%,79.828%
4565,マネー,51,0.00271%,79.831%
4566,小島,51,0.00271%,79.834%
4567,小松,51,0.00271%,79.836%
4568,ユニーク,51,0.00271%,79.839%
4569,ギア,51,0.00271%,79.842%
4570,ルーム,51,0.00271%,79.844%
4571,満足,51,0.00271%,79.847%
4572,端,51,0.00271%,79.850%
4573,窓,51,0.00271%,79.852%
4574,決戦,51,0.00271%,79.855%
4575,続行,51,0.00271%,79.858%
4576,乗客,51,0.00271%,79.861%
4577,機内,51,0.00271%,79.863%
4578,さんじる,51,0.00271%,79.866%
4579,修理,51,0.00271%,79.869%
4580,ドン,51,0.00271%,79.871%
4581,視界,51,0.00271%,79.874%
4582,定価,51,0.00271%,79.877%
4583,タワー,51,0.00271%,79.880%
4584,代理店,51,0.00271%,79.882%
4585,国防,51,0.00271%,79.885%
4586,曲名,51,0.00271%,79.888%
4587,従業員,51,0.00271%,79.890%
4588,ターボ,51,0.00271%,79.893%
4589,ける,51,0.00271%,79.896%
4590,警報,51,0.00271%,79.899%
4591,フジテレビ系,51,0.00271%,79.901%
4592,運航,51,0.00271%,79.904%
4593,通行,51,0.00271%,79.907%
4594,まり,51,0.00271%,79.909%
4595,東映,51,0.00271%,79.912%
4596,探偵,51,0.00271%,79.915%
4597,ルノー,51,0.00271%,79.918%
4598,成す,51,0.00271%,79.920%
4599,成る,51,0.00271%,79.923%
4600,有無,51,0.00271%,79.926%
4601,就航,51,0.00271%,79.928%
4602,気付く,51,0.00271%,79.931%
4603,光学,51,0.00271%,79.934%
4604,生還,51,0.00271%,79.936%
4605,鳥栖,51,0.00271%,79.939%
4606,データ型,51,0.00271%,79.942%
4607,成田,51,0.00271%,79.945%
4608,高温,51,0.00271%,79.947%
4609,削る,51,0.00271%,79.950%
4610,接頭,51,0.00271%,79.953%
4611,本格,51,0.00271%,79.955%
4612,試作車,51,0.00271%,79.958%
4613,今井,51,0.00271%,79.961%
4614,会,51,0.00271%,79.964%
4615,デルタ,51,0.00271%,79.966%
4616,人形,51,0.00271%,79.969%
4617,人員,51,0.00271%,79.972%
4618,多岐,50,0.00266%,79.974%
4619,白い,50,0.00266%,79.977%
4620,着手,50,0.00266%,79.980%
4621,著書,50,0.00266%,79.982%
4622,採択,50,0.00266%,79.985%
4623,システムズ,50,0.00266%,79.988%
4624,姉,50,0.00266%,79.990%
4625,巡航,50,0.00266%,79.993%
4626,再発,50,0.00266%,79.996%
4627,片面,50,0.00266%,79.998%
4628,デッキ,50,0.00266%,80.001%
4629,及ぼす,50,0.00266%,80.004%
4630,保障,50,0.00266%,80.006%
4631,柏,50,0.00266%,80.009%
4632,シンセサイザー,50,0.00266%,80.012%
4633,勝手,50,0.00266%,80.014%
4634,出席,50,0.00266%,80.017%
4635,面白い,50,0.00266%,80.019%
4636,ボイス,50,0.00266%,80.022%
4637,恐れる,50,0.00266%,80.025%
4638,譲渡,50,0.00266%,80.027%
4639,爆発的,50,0.00266%,80.030%
4640,塗装,50,0.00266%,80.033%
4641,サンデー,50,0.00266%,80.035%
4642,カウントダウン,50,0.00266%,80.038%
4643,アンド,50,0.00266%,80.041%
4644,混在,50,0.00266%,80.043%
4645,中国語,50,0.00266%,80.046%
4646,チャールズ,50,0.00266%,80.049%
4647,増設,50,0.00266%,80.051%
4648,誕生日,50,0.00266%,80.054%
4649,ベンチ,50,0.00266%,80.057%
4650,確か,50,0.00266%,80.059%
4651,ゆ,50,0.00266%,80.062%
4652,ブルガリア,50,0.00266%,80.065%
4653,貫通,50,0.00266%,80.067%
4654,主役,50,0.00266%,80.070%
4655,準じる,50,0.00266%,80.073%
4656,リスク,50,0.00266%,80.075%
4657,愛す,50,0.00266%,80.078%
4658,浅野,50,0.00266%,80.081%
4659,末端,50,0.00266%,80.083%
4660,競走,50,0.00266%,80.086%
4661,メールアドレス,50,0.00266%,80.089%
4662,平行,50,0.00266%,80.091%
4663,絆,50,0.00266%,80.094%
4664,女王,50,0.00266%,80.097%
4665,育てる,50,0.00266%,80.099%
4666,ソフトウエア,50,0.00266%,80.102%
4667,責任者,50,0.00266%,80.104%
4668,カップリング,50,0.00266%,80.107%
4669,迫撃砲,50,0.00266%,80.110%
4670,飛行場,50,0.00266%,80.112%
4671,初期型,50,0.00266%,80.115%
4672,クラッシュ,50,0.00266%,80.118%
